Issue,Date,Red Balls,Blue Ball,Sales,Prize Pool,1st Prize Winners,1st Prize Amount
2025006,2025-01-14(二),1:7:8:17:20:22:6,16,6058887,328,64566,"388,340,672","1,824,655,469",详情
2025005,2025-01-12(日),10:16:19:27:28:30:9,13,5996460,139,116492,"424,386,010","1,858,064,417",详情
2025004,2025-01-09(四),3:7:17:27:29:32:4,9,6908281,118,181933,"391,221,400","1,887,440,945",详情
2025003,2025-01-07(二),10:19:20:26:28:29:15,7,8424488,135,221957,"396,515,706","1,885,210,987",详情
2025002,2025-01-05(日),9:12:13:15:22:26:11,2,10000000,116,233876,"439,670,530","1,854,289,576",详情
2025001,2025-01-02(四),2:3:17:18:22:33:16,108,5234395,204,155114,"404,437,376","1,792,900,594",详情
2024151,2024-12-31(二),5:10:16:19:29:32:4,14,6744515,193,158181,"428,356,574","2,263,285,189",详情
2024150,2024-12-29(日),13:14:20:22:26:32:2,5,10000000,63,512774,"434,694,410","2,266,121,359",详情
2024149,2024-12-26(四),3:9:16:17:18:22:16,6,8684808,133,207789,"411,127,632","2,219,207,042",详情
2024148,2024-12-24(二),2:6:15:16:21:23:11,7,8367239,85,346627,"412,346,050","2,188,407,705",详情
2024147,2024-12-22(日),5:11:13:16:21:30:10,6,8463788,120,216486,"438,660,552","2,158,588,347",详情
2024146,2024-12-19(四),2:4:11:22:27:32:10,24,5730487,359,61043,"413,166,618","2,131,435,845",详情
2024145,2024-12-17(二),1:3:16:22:23:30:3,11,6873666,121,212916,"451,419,346","2,203,223,647",详情
2024144,2024-12-15(日),2:9:11:17:20:30:11,17,6315172,315,88721,"491,869,822","2,201,545,229",详情
2024143,2024-12-12(四),2:5:11:22:30:33:10,8,7936178,226,129919,"463,226,948","2,225,060,896",详情
2024142,2024-12-10(二),4:6:13:21:22:25:6,14,5840382,178,82621,"441,190,576","2,200,464,970",详情
2024141,2024-12-08(日),1:2:7:15:24:29:12,20,6385169,188,184198,"481,535,824","2,238,110,251",详情
2024140,2024-12-05(四),4:7:8:17:22:26:15,5,9931134,180,171219,"459,136,590","2,261,925,902",详情
2024139,2024-12-03(二),15:16:20:22:23:29:14,11,7433686,97,344981,"456,605,906","2,219,122,799",详情
2024138,2024-12-01(日),2:7:11:21:27:28:2,20,6031367,307,83987,"491,074,898","2,200,503,777",详情
2024137,2024-11-28(四),4:9:10:19:26:27:12,70,5291924,855,29875,"446,966,366","2,243,778,557",详情
2024136,2024-11-26(二),3:11:15:21:25:26:3,8,7126819,131,162352,"429,233,698","2,537,583,064",详情
2024135,2024-11-24(日),5:11:17:18:30:31:13,19,6358348,256,126018,"465,732,500","2,530,793,029",详情
2024134,2024-11-21(四),2:4:13:16:18:20:16,2,10000000,103,347603,"439,880,754","2,554,819,300",详情
2024133,2024-11-19(二),1:11:15:27:30:33:1,22,6215178,128,261073,"432,267,736","2,467,409,931",详情
2024132,2024-11-17(日),1:4:25:27:28:33:3,6,9262921,87,367493,"471,463,176","2,503,891,643",详情
2024131,2024-11-14(四),4:5:11:15:20:32:13,15,6477046,236,117350,"435,463,406","2,463,553,435",详情
2024130,2024-11-12(二),1:8:12:17:19:24:16,9,8258734,135,271561,"439,889,754","2,477,625,267",详情
2024129,2024-11-10(日),9:10:13:19:24:32:1,16,6564961,120,260826,"479,114,118","2,441,971,585",详情
2024128,2024-11-07(四),1:8:13:18:20:26:16,2,10000000,118,275714,"445,426,800","2,453,113,294",详情
2024127,2024-11-05(二),2:5:13:20:27:32:10,5,10000000,165,200294,"438,566,712","2,375,510,386",详情
2024126,2024-11-03(日),14:18:23:24:26:33:10,8,7899383,69,420200,"473,613,616","2,326,364,768",详情
2024125,2024-10-31(四),1:4:13:18:26:30:3,9,7049350,419,55024,"351,905,686","2,302,578,322",详情
2024124,2024-10-29(二),2:14:15:17:25:30:11,4,8675507,80,229719,"346,613,892","2,296,856,893",详情
2024123,2024-10-27(日),2:15:22:26:30:33:4,7,7811149,84,292828,"375,813,786","2,276,426,310",详情
2024122,2024-10-24(四),5:7:9:16:17:29:15,10,6842408,228,101009,"352,551,896","2,257,311,684",详情
2024121,2024-10-22(二),1:7:10:13:27:33:3,12,6509256,68,332924,"341,159,894","2,256,645,443",详情
2024120,2024-10-20(日),1:5:7:11:18:19:7,15,5809161,183,82905,"364,140,764","2,266,839,986",详情
